,Id,JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits,Year,Notes,Agency,Status,gender
127936,127937,transit operator,59319.16,15642.66,291.02,31501.24,75252.84,106754.08,2014,,San Francisco,FT,
111631,111632,police officer 3,118364.09,58274.99,18247.53,38778.55,194886.61,233665.16,2014,,San Francisco,FT,male
120492,120493,"stationary eng, sewage plant",86272.03,10099.39,7806.28,35450.59,104177.7,139628.29,2014,,San Francisco,FT,male
119531,119532,biologist iii,108374.05,0,574.73,37417.76,108948.78,146366.54,2014,,San Francisco,FT,male
123910,123911,general utility mechanic,84521.01,4613.33,1150,32586.69,90284.34,122871.03,2014,,San Francisco,FT,male
120084,120085,attorney (civil/criminal),103494.65,0,1312.5,37795.06,104807.15,142602.21,2014,,San Francisco,FT,male
116658,116659,police officer 3,118898.13,5069.6,4203.19,38839.65,128170.92,167010.57,2014,,San Francisco,FT,male
111887,111888,"lieutenant, fire suppression",127456.92,38240.76,15394.1,46309.8,181091.78,227401.58,2014,,San Francisco,FT,male
119752,119753,transit supervisor,89202.45,15037.85,5968.36,34659.84,110208.66,144868.5,2014,,San Francisco,FT,male
120454,120455,deputy sheriff,91507.77,1781.18,11429.39,35197.89,104718.34,139916.23,2014,,San Francisco,FT,male
119805,119806,govrnmt/publ affairs mgr,106866.42,0,0,37584.63,106866.42,144451.05,2014,,San Francisco,FT,male
125245,125246,roofer,78343.41,4712,2130,31450.1,85185.41,116635.51,2014,,San Francisco,FT,male
114264,114265,police officer 3,118898.13,13431.46,16574.33,38839.63,148903.92,187743.55,2014,,San Francisco,FT,male
125959,125960,wharfinger 2,82094.91,0,0,31622.95,82094.91,113717.86,2014,,San Francisco,FT,male
112136,112137,firefighter,111640.49,47406.82,19058.6,42985.17,178105.91,221091.08,2014,,San Francisco,FT,male
119603,119604,deputy sheriff,90080.62,11986.35,8516.69,35219.89,110583.66,145803.55,2014,,San Francisco,FT,male
121932,121933,deputy sheriff,90759.72,5432.39,2786.9,33501.66,98979.01,132480.67,2014,,San Francisco,FT,male
112736,112737,police officer 3,118898.08,46914.44,4471.14,38846.17,170283.66,209129.83,2014,,San Francisco,FT,male
112007,112008,sergeant 3,137982.06,35720.69,7049.41,42813.45,180752.16,223565.61,2014,,San Francisco,FT,male
125696,125697,automotive service worker,63301.02,8808.4,12207.82,30414.96,84317.24,114732.2,2014,,San Francisco,FT,male
121419,121420,senior administrative analyst,98468.9,0,0,36329.23,98468.9,134798.13,2014,,San Francisco,FT,male
114464,114465,police officer 3,118898.15,12582.89,14994.35,38833.08,146475.39,185308.47,2014,,San Francisco,FT,male
130405,130406,personnel analyst,68202.86,0,177.39,29504.61,68380.25,97884.86,2014,,San Francisco,FT,male
124181,124182,automotive mechanic,78261.17,2323.8,8164.11,32713.63,88749.08,121462.71,2014,,San Francisco,FT,male
119050,119051,automotive mechanic asst sprv,94611.04,18978.9,1160.7,34800.29,114750.64,149550.93,2014,,San Francisco,FT,male
124605,124606,transit operator,66809.47,14577.49,2540.69,35296.91,83927.65,119224.56,2014,,San Francisco,FT,male
127651,127652,police officer,75925.52,685.15,767.48,30212.11,77378.15,107590.26,2014,,San Francisco,FT,male
127403,127404,administrative analyst,77032.2,0,0,31470.14,77032.2,108502.34,2014,,San Francisco,FT,male
130929,130930,personnel analyst,66555.41,0,0,29077.02,66555.41,95632.43,2014,,San Francisco,FT,female
133590,133591,"inspector, weights & measures",59312.5,0,0,27419.97,59312.5,86732.47,2014,,San Francisco,FT,
120955,120956,asst engr,97333.01,0,4041.76,36020.08,101374.77,137394.85,2014,,San Francisco,FT,male
120064,120065,criminalist ii,104331.68,602.56,75.32,37718.18,105009.56,142727.74,2014,,San Francisco,FT,
120715,120716,assoc engineer,102627.01,0,0,36065.33,102627.01,138692.34,2014,,San Francisco,FT,
120781,120782,airport property specialist 1,101320.29,0,0,37024.37,101320.29,138344.66,2014,,San Francisco,FT,
125515,125516,stationary engineer,78607,4382.86,1222.5,31178.94,84212.36,115391.3,2014,,San Francisco,FT,
111308,111309,"captain, fire suppression",148121.1,21572.79,20743.92,52011.64,190437.81,242449.45,2014,,San Francisco,FT,male
128943,128944,fingerprint technician 2,65055,3525.99,5511.08,29284.21,74092.07,103376.28,2014,,San Francisco,FT,male
134563,134564,assessment clerk,56193.01,0,624,26280.42,56817.01,83097.43,2014,,San Francisco,FT,male
123724,123725,automotive service worker,63301,14199.24,15207.76,31082.02,92708,123790.02,2014,,San Francisco,FT,male
118872,118873,deputy sheriff,90080.61,11477.2,12047.63,37453.38,113605.44,151058.82,2014,,San Francisco,FT,male
120225,120226,electrician,92678.05,11347.95,3801.8,33682.66,107827.8,141510.46,2014,,San Francisco,FT,male
129356,129357,hsa sr eligibility worker,65592.35,5680.79,2219.39,28436.47,73492.53,101929,2014,,San Francisco,FT,male
128178,128179,general laborer supervisor 1,68497,4213.34,3674.01,29641.78,76384.35,106026.13,2014,,San Francisco,FT,male
115587,115588,is engineer-principal,132029.64,0,0,43393.01,132029.64,175422.65,2014,,San Francisco,FT,male
118979,118980,attorney (civil/criminal),110217.5,0,1312.5,38578.77,111530,150108.77,2014,,San Francisco,FT,female
125864,125865,senior administrative analyst,92897,0,0,21256.21,92897,114153.21,2014,,San Francisco,FT,female
138805,138806,ps aide to prof,39075.11,0,0,8586.49,39075.11,47661.6,2014,,San Francisco,FT,female
120712,120713,police officer,91306.11,7801.04,4572.72,35042.49,103679.87,138722.36,2014,,San Francisco,FT,
127879,127880,cement mason,73660.66,184.26,1990,31051.67,75834.92,106886.59,2014,,San Francisco,FT,male
130702,130703,senior parking control officer,65806.41,1491.38,895.75,28412.27,68193.54,96605.81,2014,,San Francisco,FT,male
132326,132327,transit operator,51227.93,7174.62,1896.35,30323.9,60298.9,90622.8,2014,,San Francisco,FT,male
122076,122077,stationary engineer,77437.72,10691.55,10070.05,33762.09,98199.32,131961.41,2014,,San Francisco,FT,male
118739,118740,transit operator,69654.07,31015.63,4058.73,46840.83,104728.43,151569.26,2014,,San Francisco,FT,male
132257,132258,general laborer,61818,670.05,815.4,27550.98,63303.45,90854.43,2014,,San Francisco,FT,male
112693,112694,manager v,153619.04,0,0,55948.93,153619.04,209567.97,2014,,San Francisco,FT,
117764,117765,deputy sheriff,92507.77,28377.4,2799.99,34947.86,123685.16,158633.02,2014,,San Francisco,FT,female
124163,124164,personnel analyst,88353.03,0,0,33172.33,88353.03,121525.36,2014,,San Francisco,FT,female
121726,121727,health program coordinator 3,98271.04,0,0,35339.77,98271.04,133610.81,2014,,San Francisco,FT,female
129307,129308,executive secretary 1,71731.02,0,624,29676.15,72355.02,102031.17,2014,,San Francisco,FT,female
128540,128541,environmental health inspector,73764.15,0,225,30744.44,73989.15,104733.59,2014,,San Francisco,FT,
120789,120790,emt/paramedic/firefighter,85585.2,4461.76,13377.8,34881.51,103424.76,138306.27,2014,,San Francisco,FT,male
121022,121023,police officer,88842.15,7762.4,6016.91,34447.59,102621.46,137069.05,2014,,San Francisco,FT,male
114080,114081,water operations analyst,133679.18,2274,11558.4,42439.62,147511.58,189951.2,2014,,San Francisco,FT,male
138584,138585,junior administrative analyst,41942.67,0,0,8196.75,41942.67,50139.42,2014,,San Francisco,FT,male
121631,121632,legislative assistant,97801.01,0,0,36215.09,97801.01,134016.1,2014,,San Francisco,FT,male
113033,113034,sergeant 3,137982.15,10773.63,11729.37,43007.13,160485.15,203492.28,2014,,San Francisco,FT,male
132100,132101,transit operator,53798.37,6415.63,857.12,30468.67,61071.12,91539.79,2014,,San Francisco,FT,male
117759,117760,police officer,112164.02,6236.79,2816.65,37428.53,121217.46,158645.99,2014,,San Francisco,FT,male
125939,125940,transit supervisor,75395.66,3705.6,3529.58,31191.53,82630.84,113822.37,2014,,San Francisco,FT,male
120656,120657,transportation planner iii,102696,0,0,36306.92,102696,139002.92,2014,,San Francisco,FT,male
118110,118111,police officer,112164.01,3628.16,2235.41,37434.71,118027.58,155462.29,2014,,San Francisco,FT,male
115762,115763,firefighter,112703.72,0,18487.6,42675.15,131191.32,173866.47,2014,,San Francisco,FT,male
130898,130899,personnel analyst,62988.32,4773.08,0,28017.37,67761.4,95778.77,2014,,San Francisco,FT,male
118054,118055,police officer,112164.01,5202.1,1134.66,37435.94,118500.77,155936.71,2014,,San Francisco,FT,male
114055,114056,sergeant 3,137982.12,1384.82,8053.07,42849.12,147420.01,190269.13,2014,,San Francisco,FT,male
125293,125294,automotive machinist,79065.72,3832.14,1344.75,32169.95,84242.61,116412.56,2014,,San Francisco,FT,male
116003,116004,police officer,112164.07,12070.82,10444.16,37559.47,134679.05,172238.52,2014,,San Francisco,FT,male
115992,115993,manager ii,122989.36,0,0,49406.75,122989.36,172396.11,2014,,San Francisco,FT,male
127570,127571,is programmer analyst,77121.06,0,0,30717.66,77121.06,107838.72,2014,,San Francisco,FT,male
114390,114391,firefighter,112703.75,12556.99,17681.67,43283.2,142942.41,186225.61,2014,,San Francisco,FT,male
115818,115819,registered nurse,129115.02,0,250,44025.07,129365.02,173390.09,2014,,San Francisco,FT,male
126531,126532,water quality technician,80076,0,0,31363.42,80076,111439.42,2014,,San Francisco,FT,male
121434,121435,med examiner's investigator ii,81875,15601.45,4477.43,32740.06,101953.88,134693.94,2014,,San Francisco,FT,male
117054,117055,planner 4,123885.38,0,0,40312.91,123885.38,164198.29,2014,,San Francisco,FT,male
135423,135424,dietetic technician,52900.8,0,340.15,26401.56,53240.95,79642.51,2014,,San Francisco,FT,male
134466,134467,senior clerk,54249.4,0,1673.82,27539.4,55923.22,83462.62,2014,,San Francisco,FT,male
112222,112223,project manager 3,167936.62,0,0,51213.3,167936.62,219149.92,2014,,San Francisco,FT,
135370,135371,cook,51047.8,3311.42,968.51,24588.99,55327.73,79916.72,2014,,San Francisco,FT,female
132850,132851,recreation coordinator,61036,0,451.97,27302.12,61487.97,88790.09,2014,,San Francisco,FT,
130058,130059,dental aide,67944.02,0,2328,29028.9,70272.02,99300.92,2014,,San Francisco,FT,
125307,125308,deputy probation officer,85750.47,0,0,30590.05,85750.47,116340.52,2014,,San Francisco,FT,
130215,130216,patient care assistant,67948,1956.45,0,28710.15,69904.45,98614.6,2014,,San Francisco,FT,
133831,133832,hsa social worker,58317.72,0,277.63,27267.65,58595.35,85863,2014,,San Francisco,FT,
125137,125138,administrative analyst,84659.03,0,0,32365.17,84659.03,117024.2,2014,,San Francisco,FT,
136710,136711,clerk,44583.81,572.98,0,25594.15,45156.79,70750.94,2014,,San Francisco,FT,
129640,129641,senior unit clerk,64559.91,4436.25,3844.6,28087.58,72840.76,100928.34,2014,,San Francisco,FT,
132426,132427,general laborer,55474.42,2248.81,3789.43,28715.55,61512.66,90228.21,2014,,San Francisco,FT,
120122,120123,sprv adult probation ofc,107558.01,0,0,34796.55,107558.01,142354.56,2014,,San Francisco,FT,
125230,125231,librarian 1,81797.11,0,2605.32,32310.4,84402.43,116712.83,2014,,San Francisco,FT,
129964,129965,transit traffic checker,66995,969.34,2666.25,29061.28,70630.59,99691.87,2014,,San Francisco,FT,
111718,111719,attorney (civil/criminal),178296,0,1312.5,52226.84,179608.5,231835.34,2014,,San Francisco,FT,
112150,112151,project manager 3,170527.02,0,0,50286.54,170527.02,220813.56,2014,,San Francisco,FT,
131335,131336,unit clerk,63462,2926.5,0,27729.92,66388.5,94118.42,2014,,San Francisco,FT,
111184,111185,"head atty, civil & criminal",191709.07,0,1250,55077.96,192959.07,248037.03,2014,,San Francisco,FT,
135527,135528,food service worker,48485.84,3344.37,848.82,26340.14,52679.03,79019.17,2014,,San Francisco,FT,male
128883,128884,principal clerk,71731.01,2276.63,0,29539.81,74007.64,103547.45,2014,,San Francisco,FT,
118774,118775,transit operator,66108.83,46918.05,3134.96,35102.08,116161.84,151263.92,2014,,San Francisco,FT,
126899,126900,executive secretary 2,78914.02,0,0,31109.5,78914.02,110023.52,2014,,San Francisco,FT,
125291,125292,nursing assistant,67948.01,12994.68,5604.46,29877.67,86547.15,116424.82,2014,,San Francisco,FT,
127536,127537,child support officer ii,75636.02,0,1599,30742.84,77235.02,107977.86,2014,,San Francisco,FT,
126970,126971,transit operator,64520.01,8801.26,2433.37,34080.01,75754.64,109834.65,2014,,San Francisco,FT,
131733,131734,administrative analyst,64266.01,0,0,28579.73,64266.01,92845.74,2014,,San Francisco,FT,
119504,119505,assoc engineer,109075.89,0,0,37448.88,109075.89,146524.77,2014,,San Francisco,FT,female
128832,128833,fingerprint technician 2,65055,4667.98,4860.51,29142.62,74583.49,103726.11,2014,,San Francisco,FT,female
126076,126077,planner 2,81533.2,0,0,31686.72,81533.2,113219.92,2014,,San Francisco,FT,female
114785,114786,police officer 2,116584,17348.41,10288.71,38350.38,144221.12,182571.5,2014,,San Francisco,FT,female
125460,125461,real property appraiser,81636.03,0,1211.29,32805.71,82847.32,115653.03,2014,,San Francisco,FT,female
121681,121682,"pr investigator, tax collector",96522,2318.57,0,34957.74,98840.57,133798.31,2014,,San Francisco,FT,female
133186,133187,animal control officer,55949.93,3769.63,1116.92,26933.32,60836.48,87769.8,2014,,San Francisco,FT,female
132038,132039,general laborer,61549.49,2922.94,75.6,27269.19,64548.03,91817.22,2014,,San Francisco,FT,female
125367,125368,park section supervisor,81490.09,2907.51,0,31673.35,84397.6,116070.95,2014,,San Francisco,FT,female
113751,113752,deputy sheriff,93190.8,50862.5,13894.15,36347.93,157947.45,194295.38,2014,,San Francisco,FT,female
129920,129921,survey assistant ii,69976,76.47,0,29861.47,70052.47,99913.94,2014,,San Francisco,FT,female
118652,118653,deputy sheriff,94191,7169.19,13949.31,36804.16,115309.5,152113.66,2014,,San Francisco,FT,female
117149,117150,it operations support admin v,111021.02,0,14743.56,37576.49,125764.58,163341.07,2014,,San Francisco,FT,female
119652,119653,automotive mechanic,78522,22124.95,11339.82,33541.33,111986.77,145528.1,2014,,San Francisco,FT,female
134914,134915,porter,53243.71,0,2797.95,25740.54,56041.66,81782.2,2014,,San Francisco,FT,female
128249,128250,central processing & dist tech,71041,4344.19,824,29528.42,76209.19,105737.61,2014,,San Francisco,FT,female
133307,133308,senior clerk typist,59051.47,0,1436.91,26930.13,60488.38,87418.51,2014,,San Francisco,FT,female
135561,135562,senior clerk,51432.6,0,0,27387.33,51432.6,78819.93,2014,,San Francisco,FT,female
128985,128986,patient accounts clerk,71545.07,2151.94,0,29499.15,73697.01,103196.16,2014,,San Francisco,FT,female
128624,128625,deputy probation officer,75171.74,0,0,29238.86,75171.74,104410.6,2014,,San Francisco,FT,female
136302,136303,assistant cook,47932.44,913.73,46.14,25178.08,48892.31,74070.39,2014,,San Francisco,FT,female
111558,111559,attorney (civil/criminal),178296.01,0,4681.82,52946.89,182977.83,235924.72,2014,,San Francisco,FT,female
113635,113636,police officer 3,123906.06,27466.65,4573.41,39903.54,155946.12,195849.66,2014,,San Francisco,FT,male
129382,129383,library technical assistant 1,69810.82,405,2155.33,29487.7,72371.15,101858.85,2014,,San Francisco,FT,
127589,127590,senior management assistant,76436,0,0,31336.14,76436,107772.14,2014,,San Francisco,FT,female
121406,121407,is programmer analyst-senior,98471.06,0,0,36368.28,98471.06,134839.34,2014,,San Francisco,FT,female
131919,131920,general laborer,59292.22,1196.03,4439.31,27230.81,64927.56,92158.37,2014,,San Francisco,FT,female
129684,129685,planner 2,72594.47,0,0,28160.22,72594.47,100754.69,2014,,San Francisco,FT,female
112063,112064,manager vi,164805.01,0,0,57776.8,164805.01,222581.81,2014,,San Francisco,FT,female
120493,120494,transit supervisor,84210.9,15822.37,6642,32952.79,106675.27,139628.06,2014,,San Francisco,FT,female
111783,111784,incident support specialist,121556.17,55779.57,8855.43,44155.35,186191.17,230346.52,2014,,San Francisco,FT,female
128172,128173,child support officer ii,75636.05,0,0,30393.28,75636.05,106029.33,2014,,San Francisco,FT,female
136537,136538,junior administrative analyst,48683.9,0,0,23743.04,48683.9,72426.94,2014,,San Francisco,FT,female
120433,120434,planner 3,102696.01,0,0,37335.52,102696.01,140031.53,2014,,San Francisco,FT,
118111,118112,building inspector,109163,2482.2,5458.35,38345.53,117103.55,155449.08,2014,,San Francisco,FT,
129576,129577,transit operator,60572.55,7804.29,625.02,32182.49,69001.86,101184.35,2014,,San Francisco,FT,
127963,127964,community police services aide,65384.49,6334.08,5612.17,29307.69,77330.74,106638.43,2014,,San Francisco,FT,
130529,130530,clerk,52362,12386.65,4379.38,28212.14,69128.03,97340.17,2014,,San Francisco,FT,
124608,124609,patient care assistant,67948.01,27062.81,6482.62,17707.24,101493.44,119200.68,2014,,San Francisco,FT,
114739,114740,registered nurse,127703.84,5245.28,5554.17,44510.33,138503.29,183013.62,2014,,San Francisco,FT,
129322,129323,executive secretary 1,71731.02,0,624,29674.23,72355.02,102029.25,2014,,San Francisco,FT,
122127,122128,hospital elig wrk supervisor,90998.05,4468.9,2007.21,34162.06,97474.16,131636.22,2014,,San Francisco,FT,
122090,122091,protective services worker,94691.02,0,2164,35032.82,96855.02,131887.84,2014,,San Francisco,FT,
126600,126601,"marriage, family & child cnslr",78196.8,0,1020,31973.3,79216.8,111190.1,2014,,San Francisco,FT,
124800,124801,hsa sr eligibility worker,74587.08,11259.73,2016,30605.72,87862.81,118468.53,2014,,San Francisco,FT,
126583,126584,patient care assistant,67937.25,13598.57,873.9,28844.75,82409.72,111254.47,2014,,San Francisco,FT,
126228,126229,pr payroll & personnel clerk,81005.02,0,0,31563.08,81005.02,112568.1,2014,,San Francisco,FT,
115388,115389,firefighter,111871.77,4655.23,17812.42,42992.46,134339.42,177331.88,2014,,San Francisco,FT,male
115622,115623,police officer,112164,19822.53,5754.36,37428.51,137740.89,175169.4,2014,,San Francisco,FT,male
124279,124280,transit supervisor,70592.42,10984.95,5509.88,33860.4,87087.25,120947.65,2014,,San Francisco,FT,male
115905,115906,engineer,131071.01,0,0,41858.98,131071.01,172929.99,2014,,San Francisco,FT,male
125217,125218,junior engineer,83756.96,0,0,33015.2,83756.96,116772.16,2014,,San Francisco,FT,male
122093,122094,stationary engineer,79489.72,236.76,19188.42,32949.14,98914.9,131864.04,2014,,San Francisco,FT,male
129202,129203,principal account clerk,72529.61,190.44,0,29719.28,72720.05,102439.33,2014,,San Francisco,FT,male
134685,134686,custodian,51232,0,3596.59,27735.42,54828.59,82564.01,2014,,San Francisco,FT,male
110567,110568,anesthetist,241036.02,1695.66,15839.3,73815.54,258570.98,332386.52,2014,,San Francisco,FT,male
137192,137193,engineering assistant,41869.32,44.25,0,23910.88,41913.57,65824.45,2014,,San Francisco,FT,male
133469,133470,custodian,53661.14,1346.08,4580.6,27554.77,59587.82,87142.59,2014,,San Francisco,FT,male
134371,134372,custodian,54703,2532.3,624,25950.05,57859.3,83809.35,2014,,San Francisco,FT,male
132586,132587,accountant ii,61374.82,339.45,0,27909.81,61714.27,89624.08,2014,,San Francisco,FT,male
